post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49676425,Show HN: Redis City – Explore how Redis works in an interactive 3D model,entertainment,104,18,poltora,2026-09-15 16:45:13.624645,0.17142857142857143,False
49705442,Show HN: Macros with a Behringer FCB1010 MIDI Pedalboard in macOS,entertainment,77,19,fretlessjazz,2026-09-15 16:45:25.206452,0.24358974358974358,False
49696402,Show HN: Pelican-bicycle alternatives,entertainment,121,44,tkgally,2026-09-15 16:45:41.848238,0.36065573770491804,False
49699267,"Show HN: Nari Qwen3-TTS and Qwen3-ASR – High accuracy, low latency and cost",entertainment,82,29,toebee,2026-09-15 16:45:42.707960,0.3493975903614458,False
49699159,Show HN: Neobrutalism.dev – Just added Base UI support and added new color theme,entertainment,154,72,samke-,2026-09-15 16:45:51.166166,0.4645161290322581,True
49695408,Show HN: Kinesis – Control your Mac with the Meta Neural Band,entertainment,116,43,callbacked,2026-09-15 16:45:57.090004,0.36752136752136755,False
49697912,Show HN: Pushie – Get notified with a simple webhook,entertainment,20,13,vasanthv,2026-09-15 16:46:22.110669,0.6190476190476191,False
49689178,Show HN: What Just Pinged Me?,entertainment,24,0,furyofantares,2026-09-15 16:47:10.415644,0.0,False
49693226,Show HN: 1080p is 920px tall – 1k real browser viewports,entertainment,41,20,zenpe,2026-09-15 16:47:24.710831,0.47619047619047616,False
49649789,Show HN: Bodily Oddities,entertainment,340,214,vesterde,2026-09-15 16:47:41.920084,0.6275659824046921,True
49700175,Show HN: MCP Harbor – An MCP Registry,entertainment,6,2,Lbesecker195,2026-09-15 16:47:45.311998,0.2857142857142857,False
49695295,Show HN: Authorize MCP tool calls without giving agents the credentials,entertainment,7,7,b4timer,2026-09-15 16:47:50.494620,0.875,False
49690614,Show HN: Exploring the intersection of prediction markets and social media,entertainment,14,2,ryanpere2298,2026-09-15 16:48:00.568085,0.13333333333333333,False
49645654,"Show HN: EterDB, a Postgres fork that makes it easy to recover from incidents",entertainment,46,20,fdeth,2026-09-15 16:48:06.521610,0.425531914893617,False
49701888,Disney's Films Used to Look Different,entertainment,11,0,speckx,2026-09-15 16:48:37.814338,0.0,False
49693971,"Show HN: I made a flight simulator, except you're just a passenger",entertainment,14,7,rkotcher,2026-09-15 16:48:54.404965,0.4666666666666667,False
49637385,Show HN: What if the speed of light was 5 km/h?,entertainment,627,287,dmitrybrant,2026-09-15 16:49:09.684782,0.4570063694267516,True
49660676,Show HN: Godot and Rust based multiplexer (terminal panes and more),entertainment,97,50,1nv1n,2026-09-15 16:49:15.621405,0.5102040816326531,False
49700223,NAZA: Israeli minister threatens to strip Israeli film-makers of citizenship,entertainment,19,0,jjgreen,2026-09-15 16:49:25.385359,0.0,False
49701148,New Carlo Rovelli book challenges science understanding of reality and universe,entertainment,5,0,theanonymousone,2026-09-15 16:49:48.137637,0.0,False
49647134,Music Theory for the 21st-Century Classroom,entertainment,304,150,aanet,2026-09-15 16:49:55.837300,0.4918032786885246,True
49644603,Show HN: See Sounds on Your Webcam,entertainment,23,7,jimhi,2026-09-15 16:50:12.278412,0.2916666666666667,False
49688748,Show HN: SF Title Alert,entertainment,5,0,arkadiyt,2026-09-15 16:50:32.395478,0.0,False
49688052,Show HN: VibeWorld – a shared terminal world for developers and scientists,entertainment,7,3,sorbalda,2026-09-15 16:50:42.765594,0.375,False
