post_id,title,category,score,num_comments,author,collected_at
49705442,Show HN: Macros with a Behringer FCB1010 MIDI Pedalboard in macOS,entertainment,77,19,fretlessjazz,2026-09-15 16:45:25.206452
49696402,Show HN: Pelican-bicycle alternatives,entertainment,121,44,tkgally,2026-09-15 16:45:41.848238
49699267,"Show HN: Nari Qwen3-TTS and Qwen3-ASR – High accuracy, low latency and cost",entertainment,82,29,toebee,2026-09-15 16:45:42.707960
49699159,Show HN: Neobrutalism.dev – Just added Base UI support and added new color theme,entertainment,154,72,samke-,2026-09-15 16:45:51.166166
49695408,Show HN: Kinesis – Control your Mac with the Meta Neural Band,entertainment,116,43,callbacked,2026-09-15 16:45:57.090004
49697912,Show HN: Pushie – Get notified with a simple webhook,entertainment,20,13,vasanthv,2026-09-15 16:46:22.110669
49689178,Show HN: What Just Pinged Me?,entertainment,24,0,furyofantares,2026-09-15 16:47:10.415644
49693226,Show HN: 1080p is 920px tall – 1k real browser viewports,entertainment,41,20,zenpe,2026-09-15 16:47:24.710831
49649789,Show HN: Bodily Oddities,entertainment,340,214,vesterde,2026-09-15 16:47:41.920084
49700175,Show HN: MCP Harbor – An MCP Registry,entertainment,6,2,Lbesecker195,2026-09-15 16:47:45.311998
49695295,Show HN: Authorize MCP tool calls without giving agents the credentials,entertainment,7,7,b4timer,2026-09-15 16:47:50.494620
49690614,Show HN: Exploring the intersection of prediction markets and social media,entertainment,14,2,ryanpere2298,2026-09-15 16:48:00.568085
49645654,"Show HN: EterDB, a Postgres fork that makes it easy to recover from incidents",entertainment,46,20,fdeth,2026-09-15 16:48:06.521610
49701888,Disney's Films Used to Look Different,entertainment,11,0,speckx,2026-09-15 16:48:37.814338
49693971,"Show HN: I made a flight simulator, except you're just a passenger",entertainment,14,7,rkotcher,2026-09-15 16:48:54.404965
49637385,Show HN: What if the speed of light was 5 km/h?,entertainment,627,287,dmitrybrant,2026-09-15 16:49:09.684782
49660676,Show HN: Godot and Rust based multiplexer (terminal panes and more),entertainment,97,50,1nv1n,2026-09-15 16:49:15.621405
49700223,NAZA: Israeli minister threatens to strip Israeli film-makers of citizenship,entertainment,19,0,jjgreen,2026-09-15 16:49:25.385359
49701148,New Carlo Rovelli book challenges science understanding of reality and universe,entertainment,5,0,theanonymousone,2026-09-15 16:49:48.137637
49647134,Music Theory for the 21st-Century Classroom,entertainment,304,150,aanet,2026-09-15 16:49:55.837300
49644603,Show HN: See Sounds on Your Webcam,entertainment,23,7,jimhi,2026-09-15 16:50:12.278412
49688748,Show HN: SF Title Alert,entertainment,5,0,arkadiyt,2026-09-15 16:50:32.395478
49688052,Show HN: VibeWorld – a shared terminal world for developers and scientists,entertainment,7,3,sorbalda,2026-09-15 16:50:42.765594
